window,scope,trade_size_bin,weighting,excluded_project,months,mean_standardized_bin_rate_pct,mean_standardized_reference_rate_pct,equal_month_standardized_difference_pp,equal_month_pooled_difference_pp,equal_month_matched_pooled_difference_pp,months_positive,months_negative,months_zero,observed_month_min_pp,observed_month_max_pp,inference_status,restriction
24m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,uniswap,24,1.4867162073100824,0.09618671796841238,1.3905294893416702,0.9582329388671574,0.9582329388671574,23,1,0,-0.09460614065400917,3.1340147345521916,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,02_100_250,equal_project,,30,0.49062122638390265,0.1897541757108556,0.300867050673047,0.7067750087577493,0.7067750087577493,30,0,0,0.010331662251726798,0.7460443894380916,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,02_100_250,overlap_exposure,,30,1.21669299462683,0.5285982669397375,0.6880947276870921,0.7067750087577493,0.7067750087577493,30,0,0,0.15292679282380042,1.5095267599637352,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,03_250_500,equal_project,,30,0.678793937507373,0.1897541757108556,0.48903976179651737,1.151723254088137,1.151723254088137,30,0,0,0.07929692974856652,1.184436154249289,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,03_250_500,overlap_exposure,,30,1.6731378580469252,0.5204638022474111,1.152674055799514,1.151723254088137,1.151723254088137,30,0,0,0.1266230752330055,3.0147824651923214,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,04_500_1000,equal_project,,30,0.7697581414402873,0.1897541757108556,0.5800039657294318,1.4954353591020761,1.4954353591020761,30,0,0,0.005576958773888859,1.3752122573072838,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,04_500_1000,overlap_exposure,,30,2.048449060750608,0.5066866734312819,1.5417623873193265,1.4954353591020761,1.4954353591020761,29,1,0,-0.011076710697908044,4.214016352091159,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,05_1000_2500,equal_project,,30,0.8593714608526527,0.1897541757108556,0.669617285141797,1.6498009752493905,1.6498009752493905,29,1,0,-0.00736926712163479,1.8201486154495836,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,05_1000_2500,overlap_exposure,,30,2.27975311463388,0.49050229576321,1.78925081887067,1.6498009752493905,1.6498009752493905,29,1,0,-0.023326645863835753,5.442685724490513,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,06_2500_5000,equal_project,,30,1.029747569121839,0.1897541757108556,0.8399933934109836,1.816875750699062,1.816875750699062,30,0,0,0.06497905174647216,2.3942446847298116,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,06_2500_5000,overlap_exposure,,30,2.519813941220172,0.456863855614599,2.0629500856055727,1.816875750699062,1.816875750699062,29,1,0,-0.05025674883201419,6.132719840057237,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,all_projects,07_5000_10000,equal_project,,30,1.1026505499711658,0.1897541757108556,0.9128963742603101,1.7904599590733523,1.7904599590733523,30,0,0,0.03735145077394691,2.6128403906618596,descriptive_sensitivity_not_a_hypothesis_test,common_bins
