sample,excluded_project,trade_size_bin,trade_size,full_log_odds,loo_log_odds,log_odds_change_loo_minus_full,full_odds_ratio_vs_under_100,loo_odds_ratio_vs_under_100,OR_ratio_loo_vs_full,covariance_valid,status
24m_primary_all_project_versions,balancer,06_2500_5000,$2.5k–5k,1.820145693432597,1.8221402490647043,0.0019945556321072644,6.172757714633513,6.1850819098596395,1.001996546081326,True,ok
24m_primary_all_project_versions,balancer,07_5000_10000,$5k–10k,1.9746747087741696,1.9776553562816683,0.0029806475074987127,7.204275784919845,7.225781225729115,1.0029850940540457,True,ok
24m_primary_all_project_versions,balancer,08_10000_25000,$10k–25k,1.997572755231707,2.001397410581911,0.0038246553502039315,7.3711427999472265,7.399388861988402,1.0038319786779029,True,ok
24m_primary_all_project_versions,balancer,09_25000_50000,$25k–50k,1.8699601737307865,1.8721432107036495,0.0021830369728630394,6.488037999793154,6.502217097744526,1.002185421532954,True,ok
24m_primary_all_project_versions,balancer,10_50000_100000,$50k–100k,1.613626568679092,1.6016144958383596,-0.012012072840732468,5.020987204633078,4.961035533386235,0.9880597841015161,True,ok
24m_primary_all_project_versions,balancer,11_100000_plus,≥$100k,1.7461015254186734,1.7178357976303518,-0.028265727788321593,5.732212176502031,5.572455483439424,0.9721300105188891,True,ok
24m_primary_all_project_versions,bancor,02_100_250,$100–250,0.8273084816202131,0.8271456002321029,-0.00016288138811015873,2.287154529987947,2.286782025421134,0.9998371318763429,True,ok
24m_primary_all_project_versions,bancor,03_250_500,$250–500,1.205295906884678,1.2051312470534634,-0.0001646598312146086,3.337746594150325,3.33719704660494,0.9998353537244714,True,ok
24m_primary_all_project_versions,bancor,04_500_1000,$500–1k,1.460651348536876,1.4604948229605301,-0.00015652557634582287,4.30876512239444,4.308090743230489,0.999843486673143,True,ok
24m_primary_all_project_versions,bancor,05_1000_2500,$1k–2.5k,1.6237987659614566,1.6236257335283646,-0.00017303243309196858,5.072322329889904,5.071444729544587,0.9998269825361561,True,ok
24m_primary_all_project_versions,bancor,06_2500_5000,$2.5k–5k,1.820145693432597,1.8194834885605866,-0.0006622048720104079,6.172757714633513,6.168671437526772,0.999338014337246,True,ok
24m_primary_all_project_versions,bancor,07_5000_10000,$5k–10k,1.9746747087741696,1.9740966556473445,-0.0005780531268251288,7.204275784919845,7.200112534181843,0.999422113913696,True,ok
24m_primary_all_project_versions,bancor,08_10000_25000,$10k–25k,1.997572755231707,1.9972795814827917,-0.0002931737489153541,7.3711427999472265,7.368982091125805,0.9997068692223087,True,ok
