victim_tier,pctile_in_tier,trades_in_bin,lower_edge_usd,upper_edge_usd,mean_usd,volume_usd,cutoff_p50,cutoff_p90
Small,20,15015,1363.7988290269834,1390.7851472876189,1377.5436552390322,2.068381798341407e+07,1001.8474213724877,8986.607999999998
Small,21,15016,1390.78799440914,1417.323180076219,1403.7031266404624,2.1078006149633184e+07,1001.8474213724877,8986.607999999998
Small,22,15015,1417.324,1446.6043736379008,1432.0464225480641,2.1502177034559183e+07,1001.8474213724877,8986.607999999998
Small,23,15015,1446.60568925847,1473.27,1460.0075243814892,2.192201297858806e+07,1001.8474213724877,8986.607999999998
Small,24,15016,1473.27,1495.3437706212164,1484.8275323200278,2.2296170225317538e+07,1001.8474213724877,8986.607999999998
Small,25,15015,1495.3438298880233,1513.192,1502.8808375442736,2.256575577572727e+07,1001.8474213724877,8986.607999999998
Small,26,15016,1513.1937952840103,1541.1343871445695,1527.0374079919418,2.2929993718406998e+07,1001.8474213724877,8986.607999999998
Small,27,15015,1541.1360000000002,1569.5274,1555.2192990443866,2.3351617775151465e+07,1001.8474213724877,8986.607999999998
Small,28,15016,1569.528,1597.9641882407323,1583.5730158587269,2.3778932406134643e+07,1001.8474213724877,8986.607999999998
Small,29,15015,1597.96537875,1631.085,1613.8834584490576,2.42324601286126e+07,1001.8474213724877,8986.607999999998
Small,30,15015,1631.0861739663326,1664.82,1648.2697793840182,2.474877073745103e+07,1001.8474213724877,8986.607999999998
Small,31,15016,1664.82,1698.0521248465484,1681.43094241615,2.5248367031320907e+07,1001.8474213724877,8986.607999999998
Small,32,15015,1698.0572254410977,1730.7959999999998,1714.1274223515948,2.5737623246609196e+07,1001.8474213724877,8986.607999999998
Small,33,15016,1730.7960471081255,1763.20712363037,1747.0868677508847,2.6234256406147286e+07,1001.8474213724877,8986.607999999998
Small,34,15015,1763.2104018213115,1797.9287543204623,1780.6307252643287,2.6736170339843895e+07,1001.8474213724877,8986.607999999998
Small,35,15016,1797.9291968156067,1834.0936930060848,1815.3186387273513,2.7258824679129906e+07,1001.8474213724877,8986.607999999998
Small,36,15015,1834.0952897770878,1869.9048000000003,1851.4697617311833,2.7799818472393718e+07,1001.8474213724877,8986.607999999998
Small,37,15015,1869.905219447205,1901.0549532514153,1885.8514605268242,2.8316059679810267e+07,1001.8474213724877,8986.607999999998
Small,38,15016,1901.055,1934.1044024287376,1917.2274987504388,2.878908812123659e+07,1001.8474213724877,8986.607999999998
Small,39,15015,1934.104506625673,1967.6657,1951.0382486654514,2.9294839303711753e+07,1001.8474213724877,8986.607999999998
Small,40,15016,1967.6741770354467,1990.8821610519192,1980.1031995512615,2.9733229644461744e+07,1001.8474213724877,8986.607999999998
Small,41,15015,1990.8828101049921,2002.6563186989165,1997.9283947472454,2.999889484712989e+07,1001.8474213724877,8986.607999999998
Small,42,15016,2002.657475,2036.7736856818574,2017.3227815985113,3.0292118888483245e+07,1001.8474213724877,8986.607999999998
Small,43,15015,2036.7803,2082.366,2059.3092026470326,3.0920527677745197e+07,1001.8474213724877,8986.607999999998
Small,44,15015,2082.3696057382845,2130.4377745527195,2105.8179959511435,3.1618857209206417e+07,1001.8474213724877,8986.607999999998
Small,45,15016,2130.4435573798473,2183.9772,2157.1222109063847,3.239134711897027e+07,1001.8474213724877,8986.607999999998
Small,46,15015,2183.979536473972,2234.71136074179,2209.4140844729277,3.3174352478361007e+07,1001.8474213724877,8986.607999999998
Small,47,15016,2234.7171,2285.87,2260.407877803835,3.394228469310239e+07,1001.8474213724877,8986.607999999998
Small,48,15015,2285.871,2334.59,2309.683637020039,3.4679899809855886e+07,1001.8474213724877,8986.607999999998
Small,49,15016,2334.59,2386.1904451652917,2360.87915403203,3.545096137694496e+07,1001.8474213724877,8986.607999999998
Small,50,15015,2386.2028140301363,2435.5199161119363,2411.310274357175,3.620582376947298e+07,1001.8474213724877,8986.607999999998
Small,51,15015,2435.5266,2479.05,2458.8936018201593,3.692028743132969e+07,1001.8474213724877,8986.607999999998
Small,52,15016,2479.05,2512.146083021304,2496.1995645293027,3.748293266097201e+07,1001.8474213724877,8986.607999999998
Small,53,15015,2512.15,2562.665123525598,2536.2338292086174,3.808155094556739e+07,1001.8474213724877,8986.607999999998
Small,54,15016,2562.667547152193,2618.845794610351,2591.0030191184246,3.890650133508226e+07,1001.8474213724877,8986.607999999998
Small,55,15015,2618.852332184868,2673.509511944829,2645.624314577331,3.972404908337863e+07,1001.8474213724877,8986.607999999998
Small,56,15016,2673.51,2740.87,2706.2538641738106,4.063710802443394e+07,1001.8474213724877,8986.607999999998
Small,57,15015,2740.8715187261178,2808.1200000000003,2774.843467431055,4.1664274663477294e+07,1001.8474213724877,8986.607999999998
Small,58,15015,2808.1275128788843,2880.2456051168756,2844.0962740495297,4.2704105554853685e+07,1001.8474213724877,8986.607999999998
Small,59,15016,2880.2536,2941.22,2911.211681674698,4.3714754612027265e+07,1001.8474213724877,8986.607999999998
Small,60,15015,2941.220128681226,2990.103469761914,2967.5926316226055,4.455840336381342e+07,1001.8474213724877,8986.607999999998
Small,61,15016,2990.10563986842,3022.3276097832686,3003.9151716773354,4.510679021790687e+07,1001.8474213724877,8986.607999999998
