bot_address,total_trades,priced_trades,total_volume_usd
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,141363,141198,5.0427131462181604e+08
0x26ce7c1976c5eec83ea6ac22d83cb341b08850af,905,900,5.0158357427678615e+08
0x45ca8f6d7b6cdd13effb1cd06829d1d9273a8913,36304,36292,4.7074966532430416e+08
0xbbd4b0c49e900762236c2478e56ca0ae088122fd,304,304,4.599729471360327e+08
0x9c27145a914007b20f9e84bd9a79782fee7e91df,364,364,4.4481980681040365e+08
0x3328d6119501cb5db268befc394c6975a16444bc,425,425,4.251626303227162e+08
0x41be328eb0d913c6a2f4cf18fc2cd0f130d23614,542,542,4.1429134477675486e+08
0x3bc1588f8d987c9ed07b3796aa50ccbf10514326,12608,12608,3.9798040255979407e+08
0x4f80b2cd1f550f81581c15f690bdd623f3824c86,474,474,3.836481597899071e+08
0x0d3c2261747b2079f6abd459642421a8087aead5,2800,2800,3.795017135529278e+08
0x4736b02db015dcd1a57a69c889d073b100000000,150085,149731,3.664244516158338e+08
0xe57aecac447dde2330f8c1c8ee3081ffd39e0348,1776,1776,3.552653896335103e+08
0xe2ca3167b89b8cf680d63b06e8aeefc5e4ebe907,394,394,3.509120831478724e+08
0x00000023c10000eecb940000b914cdfd76cc83d1,126008,126008,3.3819848199204445e+08
0x8d70139c626e1813308970964cb349d88a28c310,104,104,3.374070297864237e+08
0xdd2cae07c054b7f67ac5d969cd1cd12264a40226,14453,14419,2.970974728988925e+08
0xac956cdf91c41d5f247920ba591fb1b18a8a2982,628,622,2.962382306653916e+08
0x98e48d708f52d29f0f09be157f597d062747e8a8,46,46,2.8791161278387094e+08
0x1b27239c1fdfd7edb3d41b0658b072882b94c84b,80,80,2.8301865626824254e+08
0x12daa48c6a101fa8d9e909211bdb4dcdec052dba,686,686,2.729086660926021e+08
0x9adc2f87da5fb071e56e768eb5b59cdd39e2ab80,201,197,2.691448457925657e+08
0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252,498,496,2.494123202372834e+08
0xc9cd63ca66981fc0ca9afdbbc17c4270e1b679f7,294,294,2.4776814180384254e+08
0x997d1c9f17e685f28fff1deb758453945c42ed64,7764,7764,2.4767565353521898e+08
0xd03c7dfb28983067f5acd43d0b983a287014ed2d,7904,7904,2.465389875914757e+08
0xbadc0de76438f9524d42c219b390636196bfbdfc,21018,20962,2.393562965371556e+08
0xb7f764e44fc01c0b79ea4dee48d1d7664aeeb502,9721,9721,2.1859738550446105e+08
0x6e5b4e06097b2f34ae22545f00c70578dfa260bf,1428,1428,2.163293679322781e+08
0xb3147f04db92a0e7b9c6766a7b9ad0942bd13fee,44,44,2.1617711840335432e+08
0x9024646449a60e30c3484ee402683ce003ce8abc,152,152,2.070469353716065e+08
0xc3623ab16de256bf11855f884fdffd6f971c5fb7,246,246,1.9843787000527334e+08
0x1898036f5dd9cf2ebd1595a6e3fc006a40a9e108,870,864,1.8103665876243782e+08
0x3f883adb7c35c146fe0b08d0d528a0b71649435f,2400,2400,1.651073352852453e+08
0xb8b5382faf19c4264b0c8b5e826ab9d515612192,68,68,1.599469692189242e+08
0xf480fab87c07ec2ddd68a83ec0319bb466b1afa2,80,80,1.5944432003527248e+08
0x68cc21f7c777243d1a9c71c2349bfdccd8ca7b78,294,294,1.5562428560399747e+08
0x488c67d2de5350cbe06b2d42bb8774e3c7fef20a,354,354,1.487603491644194e+08
0xe00456d3af6e9b8715a9c29c88c1932983e064c1,32,32,1.4598359831944564e+08
0x5814fc20f0e09114503569ed6b27a4a86c9f8de4,166,166,1.4272689105694383e+08
0x5b5001c4f80f33ec93b891062ed2e1d0acc05bb6,172,172,1.405515358111064e+08
0x725ff095ef3bbac3ae06917dfae1901dfac40c97,446,446,1.3590762720423973e+08
0xa7a7bfd5c84a46ed78f1f0a282c4cf8b0beb4914,315,315,1.343797422269819e+08
0x0096913d68a000311266250f0000000000e04c00,14832,14826,1.3373848105966687e+08
0x5230dcfeda44e66e1ced1aa8aad4fbbc60dbee78,164,162,1.2914680790906866e+08
